Wavelength (nm)	Extinction Coefficient
249.4382022	1.120129765
250	      1.124105781
250.5643341	1.126976005
251.1312217	1.128750305
251.7006803	1.129447749
252.2727273	1.129096352
252.8473804	1.127732669
253.4246575	1.12540124
254.0045767	1.122153915
254.587156	1.118049062
255.1724138	1.113150702
255.7603687	1.107527577
256.3510393	1.101252187
256.9444444	1.094399816
257.5406032	1.087047566
258.1395349	1.079273422
258.7412587	1.071155359
259.3457944	1.062770513
259.9531616	1.054194404
260.5633803	1.045500247
261.1764706	1.036758324
261.7924528	1.02803543
262.4113475	1.019394394
263.0331754	1.010893652
263.6579572	1.002586888
264.2857143	0.994522715
264.9164678	0.986744398
265.5502392	0.979289612
266.1870504	0.97219022
266.8269231	0.965472067
267.4698795	0.959154797
268.115942	0.953251663
268.7651332	0.947769356
269.4174757	0.942707842
270.0729927	0.938060207
270.7317073	0.933812531
271.393643	0.929943782
272.0588235	0.92642577
272.7272727	0.92322315
273.3990148	0.920293513
274.0740741	0.917587579
274.7524752	0.915049507
275.4342432	0.912617362
276.119403	0.910223738
276.80798	0.907796563
277.5 	0.905260092
278.1954887	0.902536085
278.8944724	0.899545172
279.5969773	0.89620836
280.3030303	0.892448675
281.0126582	0.888192862
281.7258883	0.883373111
282.4427481	0.877928729
283.1632653	0.871807681
283.887468	0.864967947
284.6153846	0.857378606
285.3470437	0.849020613
286.0824742	0.83988722
286.8217054	0.829984011
287.5647668	0.819328571
288.3116883	0.807949792
289.0625	0.795886865
289.8172324	0.783188012
290.5759162	0.769909018
291.3385827	0.756111644
292.1052632	0.741861994
292.8759894	0.727228884
293.6507937	0.71228231
294.4297082	0.69709202
295.212766	0.681726264
296   	0.666250723
296.7914439	0.650727637
297.5871314	0.635215127
298.3870968	0.619766712
299.1913747	0.604430998
300	      0.589251526
300.8130081	0.574266748
301.6304348	0.559510119
302.4523161	0.545010279
303.2786885	0.530791297
304.109589	0.516872969
304.9450549	0.503271143
305.785124	0.489998065
306.6298343	0.477062725
307.4792244	0.464471211
308.3333333	0.452227034
309.1922006	0.440331456
310.0558659	0.428783783
310.9243697	0.417581644
311.7977528	0.406721245
312.6760563	0.396197599
313.559322	0.38600473
314.4475921	0.376135862
315.3409091	0.366583581
316.2393162	0.357339974
317.1428571	0.348396759
318.0515759	0.339745393
318.9655172	0.331377163
319.8847262	0.323283266
320.8092486	0.315454879
321.7391304	0.307883213
322.6744186	0.30055956
323.6151603	0.293475336
324.5614035	0.286622107
325.5131965	0.279991619
326.4705882	0.273575816
327.4336283	0.267366854
328.4023669	0.261357114
329.3768546	0.25553921
330.3571429	0.249905993
331.3432836	0.244450554
332.3353293	0.239166223
333.3333333	0.234046571
334.3373494	0.229085403
335.347432	0.224276759
336.3636364	0.219614907
337.3860182	0.215094336
338.4146341	0.210709755
339.4495413	0.206456082
340.4907975	0.202328438
341.5384615	0.198322146
342.5925926	0.194432715
343.6532508	0.190655841
344.7204969	0.186987395
345.7943925	0.183423421
346.875	0.179960124
347.9623824	0.176593866
349.0566038	0.173321162
350.1577287	0.170138669
351.2658228	0.167043183
352.3809524	0.164031632
353.5031847	0.161101071
354.6325879	0.158248676
355.7692308	0.155471739
356.9131833	0.152767663
358.0645161	0.150133955
359.223301	0.147568226
360.3896104	0.145068182
361.5635179	0.142631623
362.745098	0.140256434
363.9344262	0.137940588
365.1315789	0.135682138
366.3366337	0.133479212
367.5496689	0.131330013
368.7707641	0.129232815
370	      0.127185958
371.2374582	0.125187847
372.4832215	0.123236949
373.7373737	0.121331789
375	      0.119470948
376.2711864	0.117653061
377.5510204	0.115876815
378.8395904	0.114140945
380.1369863	0.112444234
381.443299	0.11078551
382.7586207	0.109163643
384.083045	0.107577546
385.4166667	0.106026171
386.7595819	0.104508506
388.1118881	0.103023578
389.4736842	0.101570447
390.8450704	0.100148207
392.2261484	0.098755983
393.6170213	0.097392932
395.0177936	0.096058239
396.4285714	0.094751118
397.8494624	0.093470811
399.2805755	0.092216583
400.7220217	0.090987726
402.173913	0.089783555
403.6363636	0.08860341
405.1094891	0.087446649
406.5934066	0.086312656
408.0882353	0.085200831
409.5940959	0.084110596
411.1111111	0.083041391
412.6394052	0.081992675
414.1791045	0.080963923
415.7303371	0.079954627
417.2932331	0.078964297
418.8679245	0.077992454
420.4545455	0.07703864
422.0532319	0.076102406
423.6641221	0.07518332
425.2873563	0.074280961
426.9230769	0.073394923
428.5714286	0.072524812
430.2325581	0.071670244
431.9066148	0.070830849
433.59375	0.070006266
435.2941176	0.069196145
437.007874	0.068400149
438.7351779	0.067617946
440.4761905	0.066849219
442.2310757	0.066093656
444	      0.065350956
445.7831325	0.064620826
447.5806452	0.063902982
449.3927126	0.063197147
451.2195122	0.062503052
453.0612245	0.061820437
454.9180328	0.061149047
456.7901235	0.060488636
458.677686	0.059838964
460.5809129	0.059199797
462.5  	0.058570907
464.4351464	0.057952075
466.3865546	0.057343084
468.3544304	0.056743726
470.3389831	0.056153797
472.3404255	0.055573098
474.3589744	0.055001437
476.3948498	0.054438625
478.4482759	0.053884479
480.5194805	0.053338821
482.6086957	0.052801477
484.7161572	0.052272277
486.8421053	0.051751056
488.9867841	0.051237655
491.1504425	0.050731915
493.3333333	0.050233684
495.5357143	0.049742813
497.7578475	0.049259156
500	      0.048782572
502.2624434	0.048312923
504.5454545	0.047850073
506.8493151	0.047393892
509.1743119	0.04694425
511.5207373	0.046501022
513.8888889	0.046064087
516.2790698	0.045633324
518.6915888	0.045208617
521.1267606	0.044789853
523.5849057	0.044376919
526.0663507	0.043969709
528.5714286	0.043568115
531.1004785	0.043172034
533.6538462	0.042781366
536.2318841	0.04239601
538.8349515	0.042015872
541.4634146	0.041640855
544.1176471	0.041270869
546.7980296	0.040905822
549.5049505	0.040545628
552.238806	0.040190199
555	      0.039839451
557.7889447	0.039493303
560.6060606	0.039151673
563.4517766	0.038814483
566.3265306	0.038481655
569.2307692	0.038153115
572.1649485	0.037828788
575.1295337	0.037508602
578.125	0.037192487
581.1518325	0.036880374
584.2105263	0.036572194
587.3015873	0.036267883
590.4255319	0.035967374
593.5828877	0.035670604
596.7741935	0.035377512
600   	0.035088036
603.2608696	0.034802117
606.557377	0.034519696
609.8901099	0.034240717
613.2596685	0.033965123
616.6666667	0.03369286
620.1117318	0.033423873
623.5955056	0.03315811
627.1186441	0.03289552
630.6818182	0.032636052
634.2857143	0.032379656
637.9310345	0.032126284
641.6184971	0.031875888
645.3488372	0.031628422
649.122807	0.03138384
652.9411765	0.031142096
656.8047337	0.030903148
660.7142857	0.030666951
664.6706587	0.030433464
668.6746988	0.030202645
672.7272727	0.029974453
676.8292683	0.029748848
680.9815951	0.029525792
685.1851852	0.029305246
689.4409938	0.029087172
693.75	0.028871533
698.1132075	0.028658293
702.5316456	0.028447417
707.0063694	0.028238868
711.5384615	0.028032614
716.1290323	0.02782862
720.7792208	0.027626854
725.4901961	0.027427282
730.2631579	0.027229874
735.0993377	0.027034597
740     	0.026841421
744.966443	0.026650316
750	      0.026461252
755.1020408	0.026274201
760.2739726	0.026089133
765.5172414	0.02590602
770.8333333	0.025724836
776.2237762	0.025545552
781.6901408	0.025368143
787.2340426	0.025192582
792.8571429	0.025018843
798.5611511	0.024846902
804.3478261	0.024676732
810.2189781	0.024508311
816.1764706	0.024341615
822.2222222	0.024176618
828.358209	0.024013299
834.5864662	0.023851635
840.9090909	0.023691603
847.3282443	0.023533182
853.8461538	0.023376349
860.4651163	0.023221084
867.1875	0.023067365
874.015748	0.022915173
880.952381	0.022764486
888	      0.022615285
895.1612903	0.022467551
902.4390244	0.022321263
909.8360656	0.022176405
917.3553719	0.022032955
925	      0.021890898
932.7731092	0.021750213
940.6779661	0.021610885
948.7179487	0.021472895
956.8965517	0.021336225
965.2173913	0.021200861
973.6842105	0.021066783
982.300885	0.020933978
991.0714286	0.020802427
1000   	0.020672116
